Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,0,
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,0,
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,0,
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Occupied,1,[{15}]
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Occupied,1,[{15}]
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Occupied,1,[{15}]
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,0,
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Occupied,1,[{15}]
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Occupied,1,[{15}]
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Occupied,1,[{15}]
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Occupied,1,[{15}]
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,0,
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,0,
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,1,[{15}]
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,2,"[{15}, {15}]"
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,2,"[{15}, {15}]"
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,2,"[{15}, {15}]"
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,2,"[{15}, {15}]"
2,Not Occupied,1,[{15}]
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,2,"[{15}, {15}]"
2,Occupied,2,"[{15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,2,"[{15}, {15}]"
2,Occupied,2,"[{15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,2,"[{15}, {15}]"
2,Occupied,2,"[{15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,2,"[{15}, {15}]"
2,Not Occupied,2,"[{15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,3,"[{15}, {15}, {15}]"
2,Occupied,3,"[{15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,3,"[{15}, {15}, {15}]"
2,Occupied,3,"[{15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,4,"[{15}, {15}, {15}, {15}]"
2,Not Occupied,3,"[{15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,4,"[{15}, {15}, {15}, {15}]"
2,Not Occupied,3,"[{15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,4,"[{15}, {15}, {15}, {15}]"
2,Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,4,"[{15}, {15}, {15}, {15}]"
2,Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Not Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Not Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Not Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
Slot ID,Currently Occupied,Slot Counter,Hourly Slot Sets
1,Not Occupied,5,"[{15}, {15}, {15}, {15}, {15}]"
2,Not Occupied,4,"[{15}, {15}, {15}, {15}]"
3,Not Occupied,1,[{15}]
4,Not Occupied,1,[{15}]
5,Not Occupied,1,[{15}]
